Region,Technology,Value,,Unit,Source,Updated at,Updated by
CZ,R_Coal_Hardcoal,31871,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,R_Coal_Hardcoal,232,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
UK,R_Coal_Hardcoal,2030,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,R_Coal_Hardcoal,25172,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
PL,R_Coal_Hardcoal,574432,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,R_Coal_Hardcoal,8004,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
RO,R_Coal_Hardcoal,319,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,R_Coal_Hardcoal,5568,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
TR,R_Coal_Hardcoal,10962,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
CZ,R_Coal_Lignite,38115,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,R_Coal_Lignite,541500,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,R_Coal_Lignite,4785,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
PL,R_Coal_Lignite,90045,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,R_Coal_Lignite,39495,,PJ,BP Satistical Review of World Energy - 2018,05.08.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
