Region,Storage,Year,Value,,Unit,Source,Updated at,Updated by
AL,S_PHS,All,0.2988,,PJ,based on ResidualCapacity of D_PHS,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
BA,S_PHS,All,0.16794,,PJ,based on ResidualCapacity of D_PHS,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
ME,S_PHS,All,0.117,,PJ,based on ResidualCapacity of D_PHS,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
MK,S_PHS,All,0.10188,,PJ,based on ResidualCapacity of D_PHS,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
RS,S_PHS,All,0.108,,PJ,based on ResidualCapacity of D_PHS,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
AT,S_PHS,All,0.61218,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,S_PHS,All,0.23544,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,S_PHS,All,0.15552,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,S_PHS,All,1.18692,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,S_PHS,All,0.21096,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,S_PHS,All,1.60524,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,S_PHS,All,1.0161,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,S_PHS,All,0.9036,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,S_PHS,All,0.12582,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
HR,S_PHS,All,0.05058,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
IE,S_PHS,All,0.05256,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,S_PHS,All,1.16154,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
LT,S_PHS,All,0.162,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
LU,S_PHS,All,0.2178,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
NO,S_PHS,All,0.18558,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PL,S_PHS,All,0.3204,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,S_PHS,All,0.5076,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,S_PHS,All,0.0774,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SI,S_PHS,All,0.0324,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SK,S_PHS,All,0.16488,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
UK,S_PHS,All,0.49392,,PJ,based on ResidualCapacity of D_PHS,12.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,D_Battery_Li-Ion,2021,0.0001,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,D_Battery_Li-Ion,2025,0.0001,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,D_Battery_Li-Ion,2030,0.0001,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,D_Battery_Li-Ion,2035,0.0001,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,D_Battery_Li-Ion,2040,0.0001,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,03.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
