Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
World,Heat_Buildings,2025,0,,annual percentage change,dummy,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Africa,Power,2025,0.016290577,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Power,2030,0.053535479,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Power,2035,0.042192687,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Power,2040,0.049964198,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Power,2045,0.039946541,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Power,2050,0.033281976,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Power,2055,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,Power,2060,0,,annual percentage change,,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Power,2025,0.037781567,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Power,2030,0.05408519,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Power,2035,0.042532692,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Power,2040,0.032193627,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Power,2045,0.027723318,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,Power,2050,0.024344346,,annual percentage change,IEA - World Energy Outlook 2025 Free Dataset,14.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
