Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
1,0.850769973,0.875779994,1.093361053,1.144457193,0.79776481,0.690170093,0.969743097,0.851302835,1.048142538,1.030113757,0.934656101,0.950761439,0.857150016,0.995147733,0.75186075,0.630454797,0.843919934,1.020619396,0.826176599,0.884134015,1.041582642,0.931226648,0.826236949,0.920166977,0.867019045,0.958727104,0.873145213,0.809193222,1.224341305,0.934656101,0.774763946144273,0.934843951870992,1.0683489699088389,0.8396638550532254,0.9732757690075134,0.8446617644118962,0.8350193009486527,1.1001832160762974,0.7396047518731036,1.0035724788323306,0.92607726028392
2,0.803988343,0.821874908,1.057345599,1.118523129,0.782717901,0.664419171,0.917792574,0.816815542,1.016352217,1.018812015,0.907876205,0.89640291,0.816750173,0.951408701,0.720676435,0.614251519,0.81486166,1.007699298,0.785507706,0.847384296,0.999884732,0.916917464,0.796067301,0.876124797,0.884883015,0.93221852,0.832553073,0.769807712,1.192048545,0.907876205,0.7637219028862434,0.9825374087544051,1.0999602629765803,0.8119182037233074,1.0037088044496394,0.9403167219934653,0.8162700801256402,1.0985153210383969,0.7681300084317683,0.9881147991967008,0.9355063339153593
3,0.770698989,0.772233501,1.003809113,1.080275049,0.776587679,0.637590567,0.857046195,0.760213716,0.994255337,0.967802892,0.839417737,0.834352136,0.753905972,0.876136879,0.680982268,0.590683115,0.772657976,0.994984281,0.746094764,0.812953734,0.961993271,0.900160656,0.761097936,0.836172248,0.867563853,0.896873742,0.795274577,0.735196202,1.116517908,0.839417737,0.7647328225884119,1.020403202868735,1.1355719159359527,0.7818115821371746,1.0926923143084442,1.0509075805124235,0.7947037114470732,1.032843174438762,0.8265241901157735,0.9579963302917643,0.9439345864175868
4,0.729465584,0.732743711,0.960249881,1.016466056,0.759450922,0.612104339,0.816365362,0.70787836,0.982998437,0.904068185,0.791138488,0.786660219,0.714179459,0.800186933,0.647746719,0.574479838,0.731761145,0.98363647,0.717327503,0.76032671,0.934829072,0.885976991,0.74738446,0.808803179,0.809240715,0.870365159,0.773735891,0.716100197,1.047347168,0.791138488,0.7877628682835937,1.0314336922113216,1.1702408809771556,0.7651040585357995,1.1336003389388027,1.1086604981373704,0.7767406714209596,0.9641290921658252,0.863031143904276,0.924893635580773,0.9651909852203606
5,0.726817567,0.713557155,0.922530993,0.947432936,0.74858371,0.602669896,0.786129608,0.674990993,0.991232651,0.872832661,0.76869618,0.802557525,0.698468408,0.753396341,0.622161721,0.562695636,0.706315937,0.983089587,0.708296617,0.713943569,0.925312952,0.876060977,0.736413679,0.803769787,0.753584269,0.86815611,0.766280191,0.7292287,0.989388772,0.76869618,0.8332005936564022,1.0326870561404473,1.133189916134628,0.7645199459412482,1.1355429088446085,1.1321029743133837,0.767550694378422,0.9097210226419019,0.8957583025168313,0.8923202656347291,0.9923583283784685
6,0.736022578,0.712948058,0.914257173,0.924484088,0.732840185,0.592252306,0.782281421,0.662938217,1.010306844,0.865588867,0.775296859,0.823070177,0.701386175,0.718811991,0.619777854,0.564168661,0.701472891,0.984388433,0.700282452,0.687184065,0.921333483,0.892943304,0.742584743,0.805028135,0.706128618,0.87588778,0.777877946,0.732809201,0.977219201,0.775296859,0.9029121214445899,1.0318267351781996,1.0975035993393571,0.7696052898372742,1.1253075707365248,1.1316751290147147,0.7668300286479314,0.8789434092662435,0.9083653572780432,0.6864038737881021,1.0332776377840618
7,0.7416969,0.717516286,0.897952879,0.896497687,0.722530266,0.561925963,0.829284276,0.663080432,1.009264538,0.867457659,0.783594855,0.838967483,0.717546112,0.700163567,0.636908437,0.549438409,0.71438768,1.007562578,0.702495319,0.669701189,0.905415609,0.914846398,0.767954674,0.814780332,0.69009979,0.888037548,0.788647289,0.745937705,0.97046525,0.783594855,0.9714607746122016,1.0318299314431736,1.1083670967572112,0.7790083448106147,1.132412590370247,1.1152070351954169,0.7821129068664352,0.8652380709174422,0.9298614002082829,0.9577352076385318,1.0670961670419665
8,0.772716525,0.695690309,0.91036361,0.857130151,0.715006812,0.560470147,0.870239979,0.669871229,1.02625412,0.868222974,0.79396735,0.82409581,0.723606089,0.705927625,0.641537575,0.568587737,0.73821854,1.042904857,0.688739664,0.664349288,0.889151694,0.936310174,0.782353824,0.792130068,0.704694912,0.907918985,0.787818878,0.747131205,0.950307784,0.79396735,1.0274331403292187,1.03125868314402,1.1234560674360967,0.7881626851746313,1.1314806710022585,1.0885696130140146,0.829623241842665,0.861127516522633,0.9336585786799987,1.0007762650149068,1.0768665472365206
9,0.812058489,0.703405538,0.948569194,0.844442983,0.716121398,0.575028304,0.857870807,0.660591659,1.023335664,0.859875703,0.837531829,0.80460879,0.754130415,0.706944812,0.644337234,0.580371939,0.765893087,1.067036045,0.681622607,0.620463701,0.894515325,0.953066982,0.681559773,0.810061527,0.710716475,0.913441607,0.811842797,0.793677718,0.993733466,0.837531829,1.0513625561681876,1.0342829461435108,1.1490476229970876,0.8165467019812225,1.128721661387782,1.0618341855182558,0.9018148891094168,0.8785049597061313,0.9384537554069817,1.0896682588971127,1.0584031466671961
10,0.861488137,0.724114837,1.009892805,0.858249607,0.768785578,0.616282719,0.903774179,0.66706247,1.033237568,0.892926625,0.884868125,0.871274911,0.794305815,0.696094819,0.68450263,0.584791015,0.797334447,1.084399564,0.714576372,0.637589784,0.896245529,0.961351246,0.721328855,0.855991229,0.728293704,0.950995434,0.859890637,0.831869729,1.066586246,0.884868125,1.0586164686444584,1.0384914397218792,1.211821210600334,0.8550158143233786,1.1278484340926505,1.0496422971697508,0.9280030479273286,0.9223359922487547,0.9415879804220627,1.0905540710209753,1.0400209997793366
