Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09930050590219223,0.010044554455445545,0,0,0,0.2333753012048193,0.00413709055876686,0,0.006728519855595667,0.5127652263374485
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2048532883642496,0.10157326732673266,0,0,0,0.38234457831325297,8.554913294797686e-5,0,4.420938628158845e-4,0.5798786008230453
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31178684654300165,0.2513706930693069,0,0,0.02173674698795181,0.4958319277108433,0,0,0,0.6157874485596707
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8731165741475023e-4,0.4158735244519393,0.4103390099009901,0,0.0011364532019704434,0.16478915662650606,0.5292259036144578,0,0.0052768240343347645,0,0.606267695473251
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903259318001586,0.4702559865092749,0.5248249504950494,0,0.08121625615763546,0.3348259036144578,0.5288987951807228,0,0.07761974248927038,0,0.5523953703703705
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05154329896907218,0.5010441821247892,0.5755714851485147,0,0.22439261083743844,0.4761096385542168,0.4787481927710845,0,0.23673476394849785,0,0.4599430041152264
7,0,0,8.5e-7,0,0,0,0,0,0,0,1.02e-5,1.38e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39e-6,1.02e-5,0.14275218080888186,0.48104738617200665,0.5656289108910891,5.030581039755352e-5,0.3632901477832512,0.5660361445783132,0.37524397590361447,0,0.42508540772532194,0,0.335688683127572
8,0,0,0.07776225,0,0,0,0,0,0,0,0.0411961,0.014869794,0.00115005,0,0.00373405,0,0,0,2.856e-4,0,0.0646782,0,0,1.87e-5,0,0,0,0,0.049379815,0.0411961,0.2590007930214116,0.4182768971332209,0.49766099009900994,0.008049082568807339,0.45673842364532025,0.6121481927710843,0.24410722891566264,0,0.5739952789699572,0,0.2054724279835391
9,0.07723355,0,0.22745065,0.0146115,0.0263874,0.0020808,0,2.703e-4,0,0.00183345,0.12947795,0.08002665,0.0483548,0,0.0774384,0,0,0,0.0515032,0,0.21323015,0,0.0472141,0.0472889,0,0,0.0056678,6.052e-4,0.157350158,0.12947795,0.3796216494845361,0.3266775716694772,0.3623736633663366,0.028260397553516826,0.4938103448275863,0.6047885542168675,0.0935156626506024,0,0.6622248927038628,0,0.10287458847736626
10,0.2069971,0.0081124,0.35139,0.09061,0.10268935,0.01824015,0.01135685,0.02849625,1.4535e-4,0.02092275,0.2141983,0.188644963,0.1355223,0,0.19600065,6.7065e-4,0.0046597,9.18e-5,0.1345975,0.0382364,0.3312688,8.6105e-4,0.1572619,0.15786285,0.00306595,0.00212075,0.0318852,0.0067184,0.261367917,0.2141983,0.49113885804916735,0.21669544688026984,0.19602178217821783,0.06901804281345565,0.4698532019704433,0.5499506024096386,0.012284337349397592,0.001416955684007707,0.6974420600858369,0,0.03796666666666666
