Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06871325842696628,0.04137176781002639,0,0,0,0.1738248,0.011813076923076926,0,2.857692307692308e-4,0.5204654794520548
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15479415730337076,0.1646058047493404,0,0,0,0.2814424000000001,0.0024906410256410254,0,6.826923076923077e-6,0.5783645205479452
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25928808988764046,0.2987585751978892,0,0,0.0603288,0.3626432,2.923076923076923e-5,0,0,0.599833698630137
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010019027484143763,0.3659253932584269,0.406292875989446,0,0,0.2337712,0.3989064,0,0.01978228571428572,0,0.5843598630136986
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006981183932346723,0.41822067415730335,0.46273271767810026,0,0.016976470588235294,0.409172,0.408892,0,0.1073565714285714,0,0.5230608219178082
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04225116279069768,0.4463334831460674,0.4661403693931399,0,0.10611960784313726,0.5308728,0.35528240000000005,0,0.24681771428571428,0,0.4308220547945205
7,0,0,7e-7,0,0,0,0,0,0,0,8.4e-6,1.14e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62e-6,8.4e-6,0.11601871035940804,0.4223907865168539,0.4338427440633245,0,0.21183006535947715,0.5994815999999998,0.2712584,0,0.4019388571428571,0,0.3135401369863014
8,0,0,0.0640395,0,0,0,0,0,0,0,0.0339262,0.012245713,9.471e-4,0,0.0030751,0,0,0,2.352e-4,0,0.0532644,0,0,1.54e-5,0,0,0,0,0.04066573,0.0339262,0.22303171247357287,0.3666910112359551,0.33897150395778364,0,0.2972751633986928,0.6302344,0.17284720000000003,0,0.5272114285714286,0,0.18409972602739724
9,0.0636041,0,0.1873123,0.012033,0.0217308,0.0017136,0,2.226e-4,0,0.0015099,0.1066289,0.0659043,0.0398216,0,0.0637728,0,0,0,0.0424144,0,0.1756013,0,0.0388822,0.0389438,0,0,0.0046676,4.984e-4,0.129582483,0.1066289,0.3345531712473573,0.28086629213483144,0.22610633245382583,0,0.3443843137254902,0.5925592,0.0555376,0,0.5935771428571429,0,0.0884527397260274
10,0.1704682,0.0066808,0.28938,0.07462,0.0845677,0.0150213,0.0093527,0.0234675,1.197e-4,0.0172305,0.1763986,0.155354675,0.1116066,0,0.1614123,5.523e-4,0.0038374,7.56e-5,0.110845,0.0314888,0.2728096,7.091e-4,0.1295098,0.1300047,0.0025249,0.0017465,0.0262584,0.0055328,0.215244167,0.1763986,0.44976649048625794,0.18764292134831465,0.1010651715039578,1.0711382113821136e-4,0.33311960784313727,0.5143288,0.007166400000000001,8.985897435897437e-4,0.6110657142857142,0,0.037318630136986296
