Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10053946188340808,0,0,0,0,0.32534,0.004231538461538461,0,0.07559317307692306,0.3670650684931507
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1854594170403588,0.0029328947368421053,0,0,0,0.4369719999999999,6.2820512820512815e-6,0,0.012709711538461538,0.4989698630136987
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2570887892376682,0.11019605263157894,0,0,0.0030111111111111107,0.5124096,0,0,0,0.5865119178082192
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.959830866807611e-6,0.34521704035874434,0.3304871052631579,0,0.010577922077922077,0.1310833333333333,0.5480712,0,0.010672727272727271,0,0.644464794520548
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001135200845665962,0.4270973094170404,0.5337173684210527,0,0.17329545454545456,0.34298015873015875,0.5390687999999998,0,0.14238522727272726,0,0.6399901369863014
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008223467230443975,0.497512331838565,0.672392894736842,0,0.3854532467532467,0.5221142857142856,0.4655656,0,0.33652897727272724,0,0.6057912328767123
7,0,0,1e-6,0,0,0,0,0,0,0,1.2e-5,1.625e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17e-6,1.2e-5,0.07041099365750529,0.5270798206278027,0.7411415789473684,0.012917682926829268,0.5571292207792208,0.6462484126984127,0.34262079999999995,0,0.5271738636363636,0,0.5273883561643836
8,0,0,0.091485,0,0,0,0,0,0,0,0.048466,0.017493875,0.001353,0,0.004393,0,0,0,3.36e-4,0,0.076092,0,0,2.2e-5,0,0,0,0,0.0580939,0.048466,0.1961871035940804,0.5264686098654708,0.722426052631579,0.07556544715447155,0.655475974025974,0.707984126984127,0.1766152,0,0.6614090909090908,0,0.4119249315068493
9,0.090863,0,0.267589,0.01719,0.031044,0.002448,0,3.18e-4,0,0.002157,0.152327,0.094149,0.056888,0,0.091104,0,0,0,0.060592,0,0.250859,0,0.055546,0.055634,0,0,0.006668,7.12e-4,0.185117833,0.152327,0.3492756871035941,0.4732374439461884,0.6171839473684211,0.17117906504065042,0.6709487012987013,0.7113293650793652,0.0553592,0,0.7313920454545456,0,0.2783541095890411
10,0.243526,0.009544,0.4134,0.1066,0.120811,0.021459,0.013361,0.033525,1.71e-4,0.024615,0.251998,0.22193525,0.159438,0,0.230589,7.89e-4,0.005482,1.08e-4,0.15835,0.044984,0.389728,0.001013,0.185014,0.185721,0.003607,0.002495,0.037512,0.007904,0.307491667,0.251998,0.503245243128964,0.3872526905829597,0.4666471052631579,0.2928981707317073,0.6302857142857142,0.6608126984126985,0.0012719999999999997,0.003337179487179487,0.7464261363636363,0,0.14407246575342467
11,0.363415,0.056449,0.499939,0.192157,0.187575,0.045764,0.059322,0.115582,6.99e-4,0.066832,0.314246,0.332709375,0.268227,0.015604,0.343478,0.00625,0.048133,0.015275,0.222884,0.156534,0.472915,0.009321,0.307915,0.306255,0.048935,0.006972,0.080186,0.016343,0.389210333,0.314246,0.6160667019027485,0.2859793721973094,0.27220315789473687,0.3941987804878049,0.5240097402597402,0.5624309523809524,0,0.030765,0.70345625,0,0.04453041095890411
