Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
1,0,0.422,0.524,0,0,1,0.997101113,0.361,0.371,0.721691311,0.99,0.579,0,0.964189521,0.091,0,0.969683855,0.675,0.484,0.222,0.166,0.965949468,0.482094761,0,0.778650199,0.999502839,1,1,0.953,0.931,0.32185,0.1666777777777778,0.44569999999999993,0.5491666666666667,0.08816666666666667,0.0893,0.15061666666666668,0.2296333333333333,0.13531428571428575,0.3752243243243243,0.002285714285714286
2,0,0.405,0.506,0,0,0.968963804,0.982227491,0.346,0.341,0.667041235,0.992,0.559,0,0.966577137,0.081,0,0.903028695,0.644,0.485,0.259,0.168,0.967011894,0.483288568,0,0.738370494,0.999537859,1,1,0.947,0.919,0.32500384615384614,0.16889047619047615,0.4604878787878788,0.5385407407407408,0.10955000000000002,0.1021875,0.14735833333333334,0.2511904761904762,0.13167619047619045,0.389154054054054,0.003957142857142857
3,0,0.405,0.49,0,0,0.891549737,0.966344093,0.327,0.355,0.609883694,0.993,0.528,0,0.965343642,0.074,0,0.755562904,0.6,0.475,0.213,0.176,0.962634262,0.482671821,0,0.761093111,0.999620309,1,1,0.941,0.912,0.3169692307692308,0.16590158730158736,0.46948484848484856,0.5181518518518518,0.11476666666666668,0.12425,0.15067083333333334,0.23155238095238093,0.12696190476190475,0.3749135135135136,0.0031285714285714285
4,0,0.416,0.48,0,0,0.787946589,0.930741576,0.314,0.352,0.575051586,0.992,0.583,0,0.964282312,0.066,0,0.610813813,0.603,0.472,0.157,0.181,0.954677638,0.482141156,0,0.780873421,0.999702466,1,1,0.933,0.913,0.3123115384615385,0.16286031746031746,0.4693848484848485,0.5060851851851852,0.11441666666666668,0.1262125,0.1470625,0.2591333333333334,0.1257333333333333,0.3862648648648649,0.002
5,0,0.441,0.474,0,0,0.678798646,0.885404432,0.279,0.324,0.569605514,0.987,0.699,0,0.963397885,0.059,0,0.484760083,0.62,0.475,0.144,0.165,0.937244467,0.481698943,0,0.795925131,0.999783301,1,1,0.929,0.913,0.30779615384615383,0.15757460317460317,0.46964848484848487,0.49580740740740736,0.12961666666666666,0.1177125,0.14403333333333332,0.2917142857142857,0.11663809523809524,0.3993324324324325,3.1428571428571427e-4
6,0,0.447,0.459,0,0,0.573234477,0.828722166,0.28,0.294,0.590479707,0.976,0.791,0,0.962694282,0.055,0,0.388136613,0.653,0.488,0.184,0.144,0.921174486,0.481347141,0,0.80649822,0.999861797,1,1,0.921,0.906,0.3055923076923077,0.1570015873015873,0.4615469696969697,0.4915296296296296,0.16651666666666667,0.100425,0.13682916666666667,0.3086809523809524,0.10084761904761903,0.4076270270270271,4.2857142857142856e-5
7,0,0.438,0.408,0,0,0.476571802,0.770577297,0.326,0.291,0.6359002,0.951,0.834,0,0.962174448,0.053,0,0.327397464,0.658,0.516,0.261,0.108,0.905700641,0.481087224,0,0.820292203,0.99993693,1,1,0.908,0.897,0.3068192307692308,0.1572301587301587,0.4482090909090909,0.47937407407407406,0.21945,0.0936875,0.13872083333333332,0.30666666666666664,0.08678095238095238,0.41715135135135145,1e-4
8,0,0.454,0.336,0,0,0.388347633,0.697262688,0.372,0.258,0.69716485,0.899,0.843,0,0.961840463,0.054,0,0.304755073,0.662,0.54,0.322,0.074,0.891275035,0.485739583,0,0.836512649,1,1,1,0.876,0.892,0.3100423076923077,0.15864603174603176,0.4377530303030303,0.4984148148148148,0.25886666666666663,0.07785,0.1525291666666667,0.31516666666666665,0.07185714285714286,0.4389594594594594,8.714285714285715e-4
9,0,0.479,0.324,0,0,0.413932446,0.663962171,0.281,0.181,0.680726496,0.809,0.82,0,0.964530422,0.055,0,0.363741651,0.694,0.589,0.38,0.05,0.843979411,0.487145466,0,0.856214534,0.999964886,1,1,0.85,0.89,0.3132576923076923,0.17016984126984128,0.4363757575757576,0.4970888888888889,0.2740333333333333,0.08609999999999998,0.17043333333333333,0.2970142857142857,0.06722857142857144,0.4545189189189189,2.857142857142857e-5
10,0,0.477,0.274,0,0,0.44739223,0.629920045,0.236,0.15,0.666041459,0.68,0.782,0,0.967264961,0.059,0,0.430896976,0.709,0.546,0.276,0.029,0.781709792,0.489201557,0,0.880317226,0.999920411,1,1,0.787,0.915,0.3078538461538462,0.1735047619047619,0.4366787878787879,0.4978296296296296,0.2768,0.09845,0.18561250000000004,0.3207,0.06921428571428571,0.48082432432432426,0
11,0,0.48,0.266,0,0,0.488446899,0.595845521,0.289,0.127,0.651678889,0.575,0.67,0,0.970032077,0.078,0,0.504847032,0.689,0.601,0.082,0.02,0.717571576,0.492505927,0,0.895727314,0.999874489,1,1,0.697,0.952,0.3033,0.16029682539682538,0.40774696969696966,0.5465444444444445,0.27581666666666665,0.10805,0.15158333333333338,0.30428571428571427,0.08062380952380951,0.4751297297297297,0.0015142857142857143
12,0,0.492,0.265,0,0,0.536450466,0.562360425,0.348,0.131,0.639351293,0.486,0.562,0,0.972820266,0.095,0,0.584018588,0.653,0.639,0.02,0.014,0.655259682,0.497617815,0,0.911943979,0.999827376,1,1,0.623,0.972,0.3093653846153846,0.16452539682539685,0.4190090909090909,0.5694592592592593,0.2261,0.1558375,0.1542875,0.3522809523809524,0.09245714285714283,0.4922837837837837,0.0017285714285714285
13,0,0.502,0.258,0,0,0.590585064,0.530039964,0.443,0.146,0.629187847,0.393,0.494,0,0.975617976,0.106,0,0.66662381,0.594,0.639,0.018,0.01,0.596073152,0.504975187,0,0.931163488,0.999779323,1,1,0.603,0.969,0.3214961538461539,0.16938730158730156,0.42819696969696974,0.5962037037037037,0.17386666666666664,0.19245,0.15007916666666665,0.3869857142857143,0.10406666666666668,0.5023486486486487,1.857142857142857e-4
14,0,0.504,0.252,0,0,0.649807716,0.4994031,0.458,0.186,0.616868367,0.403,0.451,0,0.978413616,0.111,0,0.744858447,0.516,0.666,0.011,0.014,0.54143474,0.51486972,0,0.937940079,0.999730582,1,1,0.637,0.949,0.3261307692307692,0.17659682539682542,0.4379272727272728,0.6064740740740739,0.14401666666666663,0.22025,0.14532083333333334,0.4132714285714286,0.11757619047619046,0.504581081081081,5.714285714285715e-5
15,0,0.493,0.276,0,0,0.635757459,0.479943945,0.373,0.183,0.618007367,0.521,0.444,0,0.973810994,0.115,0,0.739835979,0.439,0.66,0.013,0.03,0.510108431,0.509262479,0,0.935604732,0.999687551,1,1,0.722,0.922,0.3403615384615385,0.1855031746031746,0.4403787878787879,0.594137037037037,0.1704,0.23555,0.14117083333333333,0.4633190476190476,0.13272380952380952,0.5138459459459459,7.142857142857143e-5
16,0,0.493,0.312,0,0,0.628363429,0.465094895,0.433,0.2,0.619906223,0.697,0.493,0,0.942440806,0.111,0,0.738545253,0.437,0.712,0.014,0.058,0.482989468,0.490664411,0,0.931633223,0.99964418,1,1,0.775,0.869,0.35572692307692305,0.1955857142857144,0.4410272727272728,0.5825925925925927,0.2063,0.268575,0.15661250000000002,0.5317523809523809,0.13903333333333334,0.5205918918918918,7.142857142857143e-5
17,0,0.498,0.358,0,0,0.628153874,0.45510274,0.48,0.249,0.625244518,0.826,0.572,0,0.903337329,0.107,0,0.740999796,0.438,0.737,0.016,0.091,0.459179144,0.468573204,0,0.926924022,0.999600636,1,1,0.762,0.773,0.3789769230769231,0.2029301587301587,0.43009242424242417,0.5956148148148149,0.20396666666666663,0.2633625,0.17204166666666665,0.6217190476190476,0.1482952380952381,0.5266540540540541,2e-4
18,0,0.47,0.423,0,0,0.641483843,0.450595682,0.456,0.289,0.628013752,0.872,0.603,0,0.870948333,0.107,0,0.747163813,0.463,0.725,0.019,0.12,0.438996154,0.45019178,0,0.915996739,0.999557068,1,1,0.703,0.677,0.4024346153846154,0.20945238095238097,0.41675909090909097,0.6233148148148148,0.19358333333333336,0.24345000000000003,0.1805041666666667,0.6848190476190477,0.1599095238095238,0.5266594594594594,0.0016
19,0,0.427,0.476,0,0,0.648459863,0.44887936,0.455,0.311,0.631569245,0.884,0.592,0,0.847359559,0.116,0,0.756940124,0.528,0.703,0.024,0.136,0.422681737,0.436539289,0,0.900749499,0.927481904,0.940099372,0.940099372,0.637,0.672,0.4182538461538462,0.21260476190476188,0.40826666666666667,0.6319555555555555,0.18431666666666668,0.2429,0.18758333333333327,0.7283428571428572,0.15876190476190477,0.5340810810810811,0.002414285714285714
20,0,0.38,0.506,0,0,0.662734316,0.452139007,0.49,0.317,0.635950833,0.898,0.562,0,0.833956421,0.131,0,0.77017356,0.581,0.655,0.036,0.136,0.410432738,0.42828230900000003,0,0.885329394,0.855596889,0.903338681,0.903338681,0.569,0.729,0.4347076923076924,0.2211238095238096,0.3999727272727272,0.6286888888888889,0.17975,0.2187625,0.1966875,0.7511714285714286,0.1549809523809524,0.532108108108108,0.0010285714285714286
21,0,0.312,0.506,0,0,0.66490695,0.443115776,0.482,0.268,0.63724026,0.912,0.504,0,0.827328574,0.15,0,0.759632112,0.642,0.591,0.052,0.125,0.427103507,0.423668282,0,0.862925042,0.766279569,0.818485976,0.818485976,0.524,0.754,0.44065,0.2233301587301587,0.4017742424242424,0.6153777777777777,0.18215,0.21015,0.2048208333333333,0.7674619047619047,0.15073809523809523,0.536427027027027,1.7142857142857145e-4
22,0,0.221,0.483,0,0,0.670525489,0.44307414,0.51,0.215,0.637361903,0.923,0.371,0,0.817919779,0.168,0,0.752107082,0.675,0.561,0.078,0.098,0.451931181,0.417811011,0,0.842834838,0.674112346,0.741130554,0.741130554,0.512,0.74,0.4271192307692307,0.21867142857142857,0.4052090909090909,0.6098925925925925,0.19715,0.1927375,0.21325833333333333,0.7837904761904763,0.14562857142857144,0.5457540540540541,0.007414285714285714
23,0,0.152,0.467,0,0,0.685984428,0.453419018,0.507,0.203,0.642135453,0.931,0.213,0,0.790680974,0.186,0,0.747649588,0.671,0.552,0.116,0.068,0.484556813,0.403186069,0,0.820194088,0.581033484,0.675443124,0.675443124,0.501,0.71,0.40425,0.19563968253968256,0.43227727272727273,0.5795814814814816,0.23375,0.2164375,0.19627916666666667,0.7855190476190476,0.1361047619047619,0.5321891891891891,0.020885714285714285
24,0,0.136,0.448,0,0,0.708945778,0.474408395,0.477,0.189,0.648674252,0.931,0.093,0,0.772303457,0.202,0,0.746210747,0.695,0.515,0.14,0.044,0.523862688,0.393138256,0,0.799213997,0.488941422,0.624616198,0.624616198,0.516,0.695,0.39313461538461536,0.18956507936507933,0.4468333333333333,0.5710296296296297,0.2496333333333333,0.2025625,0.206625,0.7942238095238094,0.11514761904761908,0.5460486486486485,0.02164285714285714
