Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
1,0,0.888432752,0.025901336,0,0,0.709,0.86,0.152,0.245232578,0.151,0.2,0.144,0,0.32,0.087658073,0,0.618,0.357,0.513394149,0.028884188,0.514,0.252,0.183,0,0.511,0.518,0.824,0.834,0.033,0.216,0.09814583333333332,0.15355471698113204,0.24981627906976744,0.520085,0.042529411764705885,0.027918181818181818,0.05592857142857143,0.3826333333333334,0.1773705882352941,0.37614,0.04116666666666666
2,0,0.779151203,0.027916865,0,0,0.719,0.847,0.183,0.269999484,0.167,0.17,0.113,0,0.392,0.096854935,0,0.6,0.329,0.514759941,0.02597862,0.5,0.233,0.159,0,0.521,0.504,0.802,0.854,0.027,0.162,0.1029,0.1656320754716981,0.24710232558139536,0.5266125,0.0412764705882353,0.03697272727272728,0.038585714285714286,0.3891666666666667,0.1791,0.3884430769230769,0.0215
3,0,0.621748092,0.0244085,0,0,0.712,0.822,0.212,0.257642094,0.193,0.133,0.09,0,0.433,0.08527785,0,0.564,0.321,0.518078938,0.024269811,0.516,0.222,0.136,0,0.524,0.485,0.82,0.842,0.024,0.097,0.111925,0.1766566037735849,0.2523813953488372,0.528905,0.041276470588235296,0.04728181818181818,0.032228571428571426,0.4142555555555556,0.17927647058823531,0.3955276923076923,0.011500000000000002
4,0,0.485346574,0.022763987,0,0,0.693,0.793,0.239,0.24825186899999999,0.21,0.107,0.077,0,0.455,0.07532989,0,0.562,0.294,0.521104602,0.026333569,0.514,0.213,0.13,0,0.6,0.439,0.819,0.819,0.021,0.051,0.12249583333333332,0.17870377358490566,0.25732790697674424,0.5277025,0.0412,0.0506,0.02387142857142857,0.4303814814814815,0.17864705882352938,0.39629230769230767,0.008233333333333334
5,0,0.382161651,0.022161398,0,0,0.704,0.754,0.26,0.241820934,0.214,0.09,0.074,0,0.431,0.066946368,0,0.542,0.288,0.524611372,0.032313615,0.501,0.2,0.132,0,0.622,0.386,0.813,0.816,0.02,0.033,0.12922916666666667,0.1766018867924528,0.25494186046511624,0.5174475000000001,0.05098235294117647,0.04676363636363636,0.02082142857142857,0.4441222222222222,0.16851764705882355,0.39889076923076927,7e-4
6,0,0.319210857,0.023030713,0,0,0.695,0.693,0.25,0.238332257,0.223,0.076,0.076,0,0.449,0.060059652,0,0.506,0.294,0.528353739,0.043706881,0.495,0.202,0.133,0,0.583,0.354,0.793,0.794,0.02,0.025,0.1233875,0.17214528301886797,0.24396744186046512,0.52294,0.06486470588235294,0.04417272727272727,0.02221428571428571,0.4616925925925926,0.15383529411764704,0.4035353846153846,6.666666666666667e-5
7,0,0.299128901,0.001264053,0,0,0.721,0.556,0.212,0.237757833,0.231,0.059,0.079,0,0.513,0.054586867,0,0.501,0.305,0.532327028,0.062653361,0.488,0.241,0.133,0,0.45,0.325,0.76,0.798,0.021,0.018,0.12237916666666666,0.17489622641509436,0.24537906976744184,0.530155,0.07477058823529412,0.04359090909090909,0.025607142857142853,0.4976925925925926,0.14600000000000002,0.4171184615384616,0
8,0,0.322237595,2.40402e-4,0,0,0.748,0.451,0.183,0.240060744,0.22,0.031,0.081,0,0.528,0.050402795,0,0.475,0.346,0.536525972,0.090808444,0.461,0.287,0.133,0,0.276,0.305,0.724,0.795,0.019,0.006,0.1182875,0.17943207547169815,0.24381162790697675,0.5194725,0.07202352941176471,0.04056363636363637,0.03683571428571429,0.517225925925926,0.1337235294117647,0.42392461538461534,1.3333333333333334e-4
9,0,0.335408387,0,0,0,0.75,0.355,0.151,0.218071854,0.208,0.009,0.076,0,0.584,0.040892178,0,0.47,0.373,0.539766087,0.089110515,0.467,0.31,0.115,0,0.183,0.266,0.685,0.804,0.003,0.005,0.124025,0.18350943396226413,0.24535813953488367,0.49887999999999993,0.0695529411764706,0.03762727272727272,0.05129285714285714,0.542425925925926,0.12850000000000003,0.4320846153846154,6.666666666666667e-5
10,0,0.349643346,0,0,0,0.713,0.26,0.112,0.201367227,0.185,0.008,0.051,0,0.65,0.033079575,0,0.457,0.323,0.543200039,0.094676787,0.453,0.289,0.05,0,0.246,0.26,0.664,0.818,0.006,0.005,0.14080416666666665,0.1905754716981132,0.24647906976744183,0.4796525,0.07086470588235294,0.03643636363636364,0.06175714285714287,0.5732851851851852,0.12893529411764706,0.4458276923076923,1e-4
11,0,0.364908331,2.42329e-4,0,0,0.685,0.195,0.088,0.189856583,0.173,0.034,0.029,0,0.737,0.026827534,0,0.445,0.241,0.546827005,0.107708296,0.449,0.257,0.009,0,0.486,0.264,0.652,0.815,0.023,0.005,0.15917083333333332,0.17892452830188676,0.235786046511628,0.4457425,0.07768823529411764,0.03734545454545454,0.05725,0.5543592592592593,0.13158235294117646,0.4454446153846154,0.0028666666666666667
12,0,0.381179925,2.33932e-4,0,0,0.66,0.164,0.086,0.183459937,0.163,0.073,0.015,0,0.737,0.022084668,0,0.454,0.3,0.549258896,0.129914381,0.464,0.249,0.011,0,0.675,0.266,0.649,0.815,0.038,0.005,0.17977083333333332,0.1910584905660377,0.24862093023255816,0.4164125,0.06239411764705882,0.05542727272727273,0.06110714285714286,0.5485814814814814,0.14105882352941174,0.45636,2.666666666666667e-4
13,0,0.398432152,2.25173e-4,0,0,0.643,0.152,0.098,0.182147403,0.138,0.122,0.014,0,0.758,0.018723949,0,0.461,0.274,0.552032593,0.163235464,0.456,0.246,0.02,0,0.771,0.269,0.612,0.82,0.047,0.006,0.196875,0.2025094339622641,0.25193720930232555,0.39285,0.05944117647058825,0.05294545454545455,0.06497142857142855,0.5674222222222223,0.15158823529411766,0.46548,6.666666666666667e-5
14,0,0.41663625,2.20783e-4,0,0,0.631,0.157,0.098,0.185954237,0.11,0.168,0.012,0,0.787,0.018606193,0,0.465,0.317,0.554959016,0.208758665,0.425,0.242,0.029,0,0.798,0.271,0.569,0.823,0.049,0.01,0.2104375,0.2107509433962264,0.2502372093023256,0.37631,0.0695235294117647,0.0485,0.07456428571428571,0.5748074074074074,0.17275294117647055,0.4644276923076923,6.666666666666667e-5
15,0,0.414100047,2.29523e-4,0,0,0.599,0.171,0.105,0.180418441,0.078,0.21,0.01,0,0.79,0.014216376,0,0.461,0.392,0.525061281,0.219625545,0.523,0.261,0.039,0,0.817,0.267,0.541,0.815,0.052,0.013,0.2287458333333333,0.2179283018867925,0.2554883720930232,0.3864850000000001,0.09142941176470588,0.05355454545454546,0.08762142857142856,0.5691,0.1968294117647059,0.4597969230769231,1e-4
16,0,0.411980049,0,0,0,0.549,0.193,0.112,0.17566156,0.054,0.209,0.008,0,0.81,0.009920242,0,0.431,0.475,0.49557557,0.231099792,0.599,0.214,0.033,0,0.814,0.262,0.502,0.818,0.043,0.012,0.25350416666666664,0.2223490566037736,0.26406976744186045,0.41310249999999993,0.10134705882352942,0.05613636363636363,0.10775714285714286,0.5737444444444444,0.2309235294117647,0.4528892307692307,2e-4
