Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
1,0.377396,0.5537544,0.0333552,0.4180528,0.3565016,0.258533333,0.5469,0.3140136,0.3164952,0.4705704,0.1489944,0.0240984,0.3423984,0.3699648,0.0464736,0.6003992,0.5355624,0.2994232,0.4535176,0.2371328,0.0341192,0.4014832,0,0.174345979,0.4193552,0.4496872,0.49378,0.5473144,0.182597318,0.186243,0.329773354480571,0.17232360876897132,0.05590297029702971,0.496182874617737,0.39424532019704434,0.03799939759036145,0.740855421686747,0.16887109826589594,0.22023905579399145,0.2160426714801444,0.1402457818930041
2,0.376672,0.4938576,0.0321648,0.416804,0.3511552,0.2568,0.4855056,0.2976848,0.3209464,0.4458528,0.1516496,0.024912,0.3423544,0.3805024,0.0462448,0.5945912,0.4619216,0.2837408,0.4483768,0.2179816,0.0329552,0.4008608,0,0.186002132,0.4092368,0.485156,0.487096,0.5526576,0.182362251,0.189562,0.3309478191911181,0.17667622259696458,0.04954435643564356,0.5056931192660551,0.3936029556650246,0.037295783132530125,0.7402210843373493,0.16887129094412334,0.2078450643776824,0.2211158844765343,0.12979135802469136
3,0.3742392,0.4339592,0.033188,0.4107472,0.3504424,0.252933333,0.4242192,0.282568,0.3355536,0.4209624,0.1579896,0.026052,0.3362656,0.3877872,0.0452072,0.5855616,0.38422,0.2706456,0.4458592,0.206968,0.0323312,0.39924,0,0.17953341,0.4077384,0.5223584,0.4951536,0.5673264,0.180882323,0.197487,0.3295446471054718,0.18108195615514333,0.04253861386138614,0.5119509174311927,0.3938881773399015,0.034861445783132536,0.739877108433735,0.16767495183044315,0.19901716738197425,0.22322512635379052,0.1192641975308642
4,0.3621344,0.3807856,0.0328792,0.406644,0.3498,0.257333333,0.3693416,0.2682904,0.3455464,0.3999456,0.1665264,0.0276176,0.3202264,0.3824024,0.0452328,0.579068,0.310748,0.263512,0.4435776,0.198336,0.0301168,0.39244,0,0.174529428,0.4117472,0.546536,0.5014944,0.575236,0.180880221,0.208158,0.32934504361617767,0.1818532883642496,0.04089128712871287,0.513215749235474,0.3973778325123152,0.02503614457831325,0.7482512048192771,0.16108641618497108,0.19519613733905572,0.2227890252707581,0.11393497942386832
5,0.3552456,0.3314648,0.0295432,0.4080104,0.3475648,0.2628,0.3249512,0.2711096,0.3622648,0.3758464,0.1723768,0.0294088,0.3072304,0.3733304,0.0410944,0.5669224,0.2476664,0.259296,0.4428216,0.1945368,0.0280888,0.3812712,0,0.171032346,0.4183168,0.562332,0.5035096,0.577104,0.183798135,0.215471,0.32327105471847745,0.18210944350758856,0.04848455445544555,0.5101525993883792,0.3974310344827586,0.012572289156626507,0.7595361445783132,0.15424277456647398,0.18768540772532188,0.2206138628158845,0.11563497942386831
6,0.3533688,0.3046712,0.023952,0.4188376,0.345212,0.2496,0.2838736,0.2763712,0.3703992,0.3588648,0.1794448,0.0324816,0.3057032,0.3642168,0.0329032,0.5703744,0.2040152,0.2599504,0.4382008,0.19438,0.027928,0.3613624,0,0.16907353,0.429936,0.5614336,0.5001688,0.5738136,0.189629341,0.224306,0.3088966693100714,0.17983743676222597,0.07605445544554455,0.5071386850152905,0.38296798029556656,0.01075722891566265,0.7811777108433735,0.14815308285163778,0.17549399141630898,0.2172430324909748,0.12445874485596709
7,0.3519888,0.2850224,0.0175144,0.4284328,0.3500864,0.246666667,0.2474848,0.2771664,0.3834104,0.3421128,0.1870304,0.0372456,0.3049944,0.359856,0.0250384,0.5578992,0.1780008,0.2640712,0.4333384,0.19286,0.0286056,0.3401424,0.119892967,0.168671853,0.4462752,0.5673776,0.498464,0.5730672,0.198356081,0.233788,0.29664623314829497,0.17592664418212475,0.11161267326732674,0.510517125382263,0.35474187192118223,0.009660843373493976,0.8100084337349396,0.14169768786127168,0.14984077253218883,0.2143259205776173,0.14098004115226337
8,0.3488888,0.2843176,0.0122512,0.4429256,0.3567696,0.254933333,0.221924,0.2743376,0.390012,0.3332288,0.1926048,0.0434448,0.30194,0.3618992,0.0206312,0.5525504,0.1713808,0.2711848,0.4284216,0.1923608,0.0309672,0.314036,0.135595777,0.169832249,0.4555512,0.564564,0.496324,0.5643608,0.209480877,0.240756,0.28465297383029337,0.16927082630691398,0.1334588118811881,0.5136415902140673,0.3175152709359606,0.009394578313253013,0.8340391566265059,0.13760423892100193,0.12760343347639486,0.2137401444043321,0.16105380658436216
9,0.3416616,0.2869072,0.007564,0.4524832,0.3586472,0.278666667,0.2041048,0.2691928,0.4009696,0.3196472,0.192748,0.0489648,0.296812,0.3650704,0.0196424,0.5211976,0.1781544,0.2764872,0.4250328,0.1874048,0.033032,0.2907384,0.121833614,0.190065099,0.4598472,0.5726384,0.4938024,0.5533856,0.211315794,0.240935,0.2662921490880254,0.1670114671163575,0.1452560396039604,0.5128659021406727,0.2870650246305419,0.009861445783132533,0.8540427710843372,0.13574653179190752,0.14384163090128754,0.212779927797834,0.1831686213991769
10,0.3313688,0.2937464,0.0056848,0.4547744,0.3486568,0.3184,0.1915264,0.2582728,0.3978512,0.3024288,0.18242,0.051256,0.2965792,0.3623344,0.0198016,0.4856696,0.1954424,0.277808,0.4162648,0.1672344,0.0291024,0.2639392,0.120015586,0.210940171,0.4656048,0.5675376,0.4846024,0.5328096,0.214320619,0.228025,0.25320356859635207,0.165629173693086,0.15560059405940593,0.5141674311926605,0.28334581280788174,0.01129156626506024,0.8608969879518071,0.13444739884393064,0.15698712446351934,0.21130404332129968,0.20710606995884773
11,0.3245296,0.2965,0.0091368,0.4448392,0.336552,0.32,0.1822936,0.2331184,0.3976552,0.2787008,0.1587512,0.0514128,0.2910032,0.355108,0.0229024,0.4398888,0.211708,0.2695912,0.410188,0.1278048,0.0254992,0.2392968,0.12128865,0.23233194,0.4647144,0.5789888,0.4834704,0.519184,0.218132679,0.198439,0.2685797779540048,0.15185210792580103,0.15387603960396035,0.5033107033639144,0.31057586206896554,0.014722289156626506,0.8281481927710843,0.1221553949903661,0.1856424892703863,0.2031436823104693,0.23792181069958848
12,0.3226736,0.303184,0.0156544,0.4257504,0.3412928,0.315466667,0.17908,0.226444,0.3828,0.2635944,0.1301144,0.0559544,0.2779224,0.3495368,0.0321256,0.411092,0.2257608,0.260192,0.4099808,0.099288,0.0327512,0.2145664,0.12090708,0.254129331,0.4655,0.5740096,0.4770592,0.4961728,0.222755226,0.162643,0.2647925455987312,0.1548711635750422,0.13863346534653465,0.4974943425076453,0.3472014778325123,0.01997469879518072,0.830017469879518,0.11068236994219656,0.201162660944206,0.20369790613718408,0.2587567901234568
13,0.3092528,0.3137176,0.02018,0.4015816,0.3457784,0.303066667,0.1818984,0.2315288,0.3708304,0.258796,0.1047504,0.056228,0.2584136,0.3419112,0.0443496,0.3970768,0.2441784,0.2507424,0.4111864,0.0866056,0.0379776,0.1940608,0.122055332,0.276232693,0.4725952,0.5693216,0.4714496,0.4732808,0.228186587,0.130938,0.259647739888977,0.1602237774030354,0.12089168316831685,0.503590366972477,0.3950413793103448,0.03252951807228916,0.8197608433734941,0.11187350674373796,0.2116682403433477,0.20525833935018048,0.271456378600823
14,0.2887968,0.3295384,0.0218088,0.3679904,0.3558632,0.330133333,0.1924096,0.2364296,0.3486488,0.2558296,0.08626,0.0529088,0.2392272,0.335032,0.055148,0.3965624,0.2708056,0.2376824,0.4097344,0.0813704,0.0388224,0.1731768,0.13324487,0.298551532,0.4844056,0.5444384,0.4629088,0.4446312,0.234271721,0.107825,0.25486812053925456,0.16427942664418213,0.11320633663366338,0.506084862385321,0.439984236453202,0.05683433734939759,0.7969692771084337,0.11521541425818882,0.21753605150214592,0.20679314079422384,0.2817614197530864
15,0.2794752,0.3300232,0.0243064,0.3197552,0.3682624,0.3808,0.20974,0.2402224,0.3314152,0.2444096,0.073552,0.0485744,0.2339304,0.319524,0.0616216,0.3885072,0.2944912,0.224056,0.40454,0.0879272,0.0431536,0.160076,0.127503794,0.235637748,0.4848104,0.5269856,0.4598824,0.4241272,0.202951226,0.09194,0.2524581284694687,0.16455733558178753,0.11002118811881188,0.5058117737003057,0.46516896551724135,0.07367469879518071,0.7665506024096386,0.11300375722543352,0.2127343347639485,0.2082823826714801,0.28542263374485594
16,0.2939976,0.3166696,0.0316656,0.2779312,0.3898024,0.398666667,0.228548,0.2282376,0.3063936,0.2221248,0.069552,0.0480896,0.2541776,0.2974672,0.0636352,0.3785016,0.3034792,0.213372,0.4043592,0.1024264,0.05746,0.1554032,0.124125092,0.17540009,0.478024,0.4965448,0.4531,0.4009208,0.173585768,0.08694,0.2495098334655036,0.1650183811129848,0.10781762376237625,0.4992608562691131,0.4805576354679803,0.07995301204819279,0.7421475903614457,0.11215616570327552,0.20999570815450644,0.20794151624548737,0.2824479423868313
17,0.3159272,0.3001312,0.0392728,0.2315,0.3985912,0.3912,0.2414768,0.1925096,0.2856816,0.2042888,0.0684664,0.0526944,0.2828512,0.2758064,0.0648704,0.3388968,0.3060936,0.2026592,0.3989408,0.1201984,0.0738968,0.156952,0.12235973,0.120437674,0.4672552,0.4714168,0.4368936,0.3731968,0.146180846,0.085583,0.24689730372720065,0.16393844856661047,0.10601069306930692,0.4981206422018348,0.480884236453202,0.07774036144578314,0.7197789156626505,0.11371502890173411,0.2111648068669528,0.20831184115523463,0.27578014403292184
18,0.3168888,0.2969136,0.048192,0.1877152,0.3930896,0.396666667,0.240868,0.1717552,0.2592,0.1976824,0.065104,0.0571752,0.2938832,0.249256,0.0657408,0.2917464,0.3103536,0.1823584,0.3910328,0.128928,0.0939976,0.1574984,0.121557112,0.07444701,0.4556928,0.4323056,0.4210312,0.3477024,0.121505658,0.08138,0.25129333862014275,0.1630177065767285,0.10500574257425742,0.4982545871559634,0.4726679802955665,0.07478493975903615,0.7064295180722892,0.1176402697495183,0.20952746781115875,0.20937184115523463,0.2674781893004116
